imageUrl,ProviderLogo,brand,model,phoneDescription,phoneDescription2,packageDetail,packageName,price,Url
https://files.plytix.com/api/v1.1/file/public_files/pim/assets/c1/3a/6a/5e/5e6a3ac1c33e1b8b84c44a58/images/af/b5/93/60/6093b5af24e73b89a269d6f8/Samsung-Galaxy-A52---Full.png,/img/logos/vodacom.png,Samsung,"Galaxy,A52",Awesome White/ Awesome Black/ Awesome Violet/ Awesome Blue.,128GB, Min   SMS ,Red 2GB 400min TopUp,R679.00pm x24 months,https://mobilestore.co.za/deal-details?Deal=DEAL1302179&Name=Samsung Galaxy A52-Red 2GB 400min TopUp
https://files.plytix.com/api/v1.1/file/public_files/pim/assets/c1/3a/6a/5e/5e6a3ac1c33e1b8b84c44a58/images/af/b5/93/60/6093b5af24e73b89a269d6f8/Samsung-Galaxy-A52---Full.png,/img/logos/vodacom.png,Samsung,"Galaxy,A52",Awesome White/ Awesome Black/ Awesome Violet/ Awesome Blue.,128GB, Min   SMS ,Red 2GB 400min TopUp,R679.00pm x24 months,https://mobilestore.co.za/deal-details?Deal=DEAL1302154&Name=Samsung Galaxy A52-Red 2GB 400min TopUp
https://files.plytix.com/api/v1.1/file/public_files/pim/assets/c1/3a/6a/5e/5e6a3ac1c33e1b8b84c44a58/images/ab/29/a5/60/60a529abcf09de1924689217/Samsung-20-Plus-full.png,/img/logos/mtn.png,Samsung,"Galaxy,S20,Plus",Cosmic gray/ Cloud blue/ Cosmic black,128GB, Min   SMS ,MTN Upgrades R1249.00,R1249.00pm x24 months,https://mobilestore.co.za/deal-details?Deal=DEAL1304704&Name=Samsung Galaxy S20 Plus-MTN Upgrades R1249.00
https://files.plytix.com/api/v1.1/file/public_files/pim/assets/c1/3a/6a/5e/5e6a3ac1c33e1b8b84c44a58/images/7f/b5/93/60/6093b57f24e73b89a269d6d3/Hisense-H50-Infinity----Full.png,/img/logos/mtn.png,Hisense,H50,Black Jade,128GB, Min   SMS ,MTN Upgrades R1249.00,R1249.00pm x24 months,https://mobilestore.co.za/deal-details?Deal=DEAL1303923&Name=Hisense H50-MTN Upgrades R1249.00
https://files.plytix.com/api/v1.1/file/public_files/pim/assets/c1/3a/6a/5e/5e6a3ac1c33e1b8b84c44a58/images/a3/d9/93/60/6093d9a324e73b89a269daf8/Hisense-H220M-front.png,/img/logos/mtn.png,Hisense,H220M,,, UnlimitedMin 60GB  UnlimitedSMS ,My MTN Sky Top Up,R1269.00pm x24 months,https://mobilestore.co.za/deal-details?Deal=DEAL1314478&Name=Hisense H220M-My MTN Sky Top Up
https://files.plytix.com/api/v1.1/file/public_files/pim/assets/c1/3a/6a/5e/5e6a3ac1c33e1b8b84c44a58/images/d4/5f/54/60/60545fd418080a98bd48af5f/Samsung-Galaxy-S21-Plus_full.png,/img/logos/mtn.png,Samsung,"Galaxy,S21,Plus,5G",Bronze/ Red /Phantom Black/ Phantom Silver/Phantom Violet,256GB, 700Min 5GB  0SMS ,MTN Mega Talk L,R1269.00pm x24 months,https://mobilestore.co.za/deal-details?Deal=DEAL1314232&Name=Samsung Galaxy S21 Plus 5G-MTN Mega Talk L
https://files.plytix.com/api/v1.1/file/public_files/pim/assets/c1/3a/6a/5e/5e6a3ac1c33e1b8b84c44a58/images/d4/5f/54/60/60545fd418080a98bd48af5f/Samsung-Galaxy-S21-Plus_full.png,/img/logos/mtn.png,Samsung,"Galaxy,S21,Plus,5G",Bronze/ Red /Phantom Black/ Phantom Silver/Phantom Violet,256GB, 100Min 12GB  0SMS ,MTN Mega Gigs L,R1269.00pm x24 months,https://mobilestore.co.za/deal-details?Deal=DEAL1314222&Name=Samsung Galaxy S21 Plus 5G-MTN Mega Gigs L
https://files.plytix.com/api/v1.1/file/public_files/pim/assets/c1/3a/6a/5e/5e6a3ac1c33e1b8b84c44a58/images/3c/2b/a5/60/60a52b3ccf09de192468923c/Samsung-Galaxy-Note-20-Ultra---Full.png,/img/logos/mtn.png,Samsung,"Galaxy,Note,20,Ultra",Mystic Bronze/ Mystic Green/ Mystic Gray/ Mystic Black,265GB, 240Min 1GB  0SMS ,MTN Mega Talk S,R1269.00pm x24 months,https://mobilestore.co.za/deal-details?Deal=DEAL1313974&Name=Samsung Galaxy Note 20 Ultra-MTN Mega Talk S
https://files.plytix.com/api/v1.1/file/public_files/pim/assets/c1/3a/6a/5e/5e6a3ac1c33e1b8b84c44a58/images/3c/2b/a5/60/60a52b3ccf09de192468923c/Samsung-Galaxy-Note-20-Ultra---Full.png,/img/logos/mtn.png,Samsung,"Galaxy,Note,20,Ultra",Mystic Bronze/ Mystic Green/ Mystic Gray/ Mystic Black,265GB, 50Min 4GB  0SMS ,MTN Mega Gigs S,R1269.00pm x24 months,https://mobilestore.co.za/deal-details?Deal=DEAL1313964&Name=Samsung Galaxy Note 20 Ultra-MTN Mega Gigs S
https://files.plytix.com/api/v1.1/file/public_files/pim/assets/c1/3a/6a/5e/5e6a3ac1c33e1b8b84c44a58/images/6c/74/54/60/6054746c1137d94a7310a864/Huawei-P40-Pro+-5G_full.png,/img/logos/mtn.png,Huawei,"P40,Pro+,5G",Black/ Silver Frost,256GB, 240Min 1GB  0SMS ,MTN Mega Talk S,R1269.00pm x24 months,https://mobilestore.co.za/deal-details?Deal=DEAL1313166&Name=Huawei P40 Pro+ 5G-MTN Mega Talk S
